MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2563.111102,,6322.206455,,9971.583897,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33510.80591,,31158.80337,,24939.70763,,17973.77315,,12435.19205,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,19249.57342,,17729.55965,,13842.54756,,11258.38792,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7917.084691,,6027.528155,,5498.304983,,5552.214644,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2921.848874,,3293.58376,,3267.765685,,1842.029436,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7681.1198,,7676.994351,,4344.4839,,3131.305493,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply,Mt CO2/yr,12686.70206,14578.10855,,11773.86468,,7074.782707,,3995.860324,,1041.438859,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Fossil Fuels and Industry|Energy Supply|Electricity,Mt CO2/yr,10168.56195,11846.65173,,9437.047325,,4859.850399,,2382.855372,,2938.434983,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|CO2|Land Use,Mt CO2/yr,5443.932536,4810.970075,,4429.826492,,3591.948126,,2226.297463,,916.2017786,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|F-Gases,Mt CO2-equiv/yr,469.2425355,675.5798162,,776.8052235,,802.5284892,,664.6885961,,539.6936775,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|Kyoto Gases,Mt CO2-equiv/yr,45262.65028,49877.52546,,44440,,36360,,27270,,19627.66667,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LimSW,World,Emissions|N2O,kt N2O/yr,9589.551477,10234.40002,,9657.717272,,8738.238638,,7469.573105,,6325.93889,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CH4,Mt CH4/yr,348.9808039,366.9965737,,253.0838877,,204.1067756,,188.4326428,,176.1911419,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2,Mt CO2/yr,34492.04991,38313.59053,,35319.75719,,28509.69776,,20179.00326,,13159.50056,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,,0,,2522.995078,,5987.420244,,9379.737007,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,29048.11737,33502.62046,,30889.9307,,24917.74963,,17952.7058,,12243.29878,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand,Mt CO2/yr,16226.05004,18797.3321,,18343.34395,,16630.17471,,14983.18025,,13480.37734,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Industry,Mt CO2/yr,6408.762993,7931.638093,,7637.179287,,6082.948865,,4665.189297,,4473.227143,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Residential and Commercial,Mt CO2/yr,2768.712937,2933.676825,,2675.311656,,2832.538828,,2746.390578,,2657.894134,,,,,,,,,,
AIM-Enduse 12.1,EMF27-450-LowEI,World,Emissions|CO2|Fossil Fuels and Industry|Energy Demand|Transportation,Mt CO2/yr,6334.343748,7217.786815,,7333.295714,,7044.304627,,6928.12767,,5733.470167,,,,,,,,,,
